33,proactive decision making,social-media-posting,"以 alice 身份登录社交媒体平台，发布公开消息""Hello from the test!""，并验证消息出现在公开动态中。",E,基于 social mock 环境构建的单步简短社交媒体任务；评价 agent 完成认证、创建内容与验证发布的能力。,Social Media,Social Media,0,0,0,0,implemented
34,proactive decision making,social-unlike-post,以 alice 身份登录社交媒体平台，找到她之前点赞的帖子，通过 POST /api/posts/:id/like 取消点赞，并验证 liked=false 且 like_count 减少 1。,E,基于 social mock 环境构建；评价 agent 完成认证、发现已点赞帖子与切换点赞状态的能力。,Social Media,Social Media,0,0,0,0,implemented
35,proactive decision making,expense-draft-delete,以 alice 身份登录费用管理平台，找到她的一份草稿费用，通过 DELETE /api/drafts/:id 删除，并验证草稿已消失且数量减少 1。,E,基于 expense mock 环境构建；评价 agent 完成认证、列出草稿与删除特定草稿的能力。,Finance & Data Analytics,Finance & Data Analytics,0,0,0,0,implemented
39,proactive decision making,finance-portfolio-rebalancing,登录财务系统，审查投资组合持仓，并按目标配置重新平衡（股票45%、固定收益30%、现金15%、另类投资10%）。,H,基于 finance mock 环境构建；评价 agent 进行算术推理、计算目标配置并执行多个依赖 API 订单的能力。,Finance & Data Analytics,Finance & Data Analytics,0,0,0,0,implemented
40,proactive decision making,finance-monthly-close,登录财务系统并完成月末结账：标记差异较大的账户、标记高金额待处理交易、创建并提交费用报销单，以及创建发票。,M,基于 finance mock 环境构建；评价 agent 在多个财务功能之间切换上下文并完成多步骤工作流的能力。,Finance & Data Analytics,Finance & Data Analytics,0,0,0,0,implemented
36,proactive decision making,insurance-deductible-selection,"帮助用户在保险公司门户网站上切换到""Balanced Silver""健康保险计划。",E,基于 insurance mock 环境构造单环境任务；评价 agent 完成认证、导航计划选择并执行选择的能力。,E-commerce & Daily Svcs,E-commerce & Daily Svcs,0,0,0,0,implemented
37,cross environment composition,health-insurance-optimization,帮助用户管理健康保险并安排医疗预约，需要在保险门户和日历之间协调。,M,构建 insurance mock 与 calendar mock 的多环境组合任务；评价 agent 提交理赔、预约医疗服务并将预约同步到日历的跨环境执行能力。,E-commerce & Daily Svcs,E-commerce & Daily Svcs ; Calendar & Task Mgmt,1,0,0,0,implemented
38,proactive decision making,health-daily-record,在健康管理应用中添加过敏原和用药记录，查询健康指标并将结果写入文件,E,单环境健康应用任务；评价agent与基于Web的健康管理UI交互、创建结构化记录并提取指标数据的能力,Health & Wellness,Health & Wellness,0,0,0,0,implemented
41,proactive decision making,nutrition-log-meal,在 Mint Diet 中把牛奶和鸡肉沙拉记录到今天的午餐日志,E,基于 mint-diet mock 环境构造单环境营养记录任务；评价 agent 搜索食物目录并创建结构化餐食记录的能力。,Health & Wellness,Health & Wellness,0,0,0,0,implemented
42,proactive decision making,mint-diet-comprehensive,在 Mint Diet 中记录一整天餐食、创建 clean eating 周餐食计划并添加计划条目,E,基于 mint-diet mock 环境构造多步骤单环境营养规划任务；评价 agent 在每日日志和周计划中进行精确记录与状态更新的能力。,Health & Wellness,Health & Wellness,0,0,0,0,implemented
